,DISCREPANCY
13612,black blade upper centering socket safety wire loose.          
4625,l wow switch 1 posted f(p) 5 times during flight.  fault id: 4a97 1/6021 2/0511 3/5980
12731,remove yellow mrb for pmi prep rwn
7582,"removed mrh distributor to facilitate mrh rig check. in-process, reinstall when notified by maint control."
7884,mrh accumulator low. mrc-100 step 47.1
13283,swashplate grease track has a crack on top in the area between the yellow and black blades          
8690,delamination under tip cap of blue mrh blade and corrosion going under blade skin ply.
14893,broken safety wire on upper part of black pitch control rod          
8875,aft spherical bearing failed axial play limit card: abcd 23.5          
13815,outboard yellow damper bearing worn ool.          
5050,scir change:  1jso6jh.     fault id: 6885  fault type: wra description: landing gear - r main gr up and lock sw 1 (abiu)     fault data  1/0100  2/000a  3/48eb  4/0000  5/1000  6/8880  7/f000  8/03a0  9/8700 10/0000 11/0001 12/4000 13/0002 14/0000 15/0100
11476,red tail paddle de-ice harness wiring torn.          
10589,mrh accumulator low.          
2417,rh nose landing gear tire worn beyond limitations          
15172,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-04034;  pos cd: blue wd: a2015.0          
21082,maintenance control parts pay back.          
9564,black fold gear broken. card d-121
4423,perform op check for blow down bottle replacement          
8854,main rotor head servicing is low.          
2875,"due to replacement of lh nlg tire, rh nlg tire tread diameter difference is out of limits. refer to mcn: 208cftg for installation of lh nlg tire.          "
5722,red droop stop cam worn. d-121
1456,lh ib mlg tire has tread worn to a flat spot.          
23571,admin install black tip cap.
260,left hand and right hanf main landing gear tire pressures low.
4173,lh nlg tire has cut into sidewall.          
22972,remove blue main rotor blade.          
15141,main rotor head is low on fluid.          
9120,disconnect/reconnect lower pcr for removal of bridge.
10826,"perform post phase ground vibes iaw a1-h60ca-mrc-400, abcd card-30 & 30.1          "
3053,remove main rotor head shaft extension due to mgb change.          
14447,tail balance out of limits          
26120,remove and reinstall tb-10 to facilitate removal of main rotor head accumulator          
26852,yellow droop stop worn          
10996,blue main rotor hub upper & lower liner disbonding          
17138,yellow mrh blade damaged due to contact with black blade bumper plate          
9837,da low          
7204,mrh accumulator low          
14017,black tip cap worn ool * worn kevlar and torn wire mesh *          
6167,remove blue mrh damper to fom. reinstall when directed by m/c          
26762,red upper and lower centering sockets teflon worn and showing metal.
27594,worn mrh weight bolts. (maf for ordering balance weight parts only)
8054,main rotor head accumulator hyd low
1482,pneumatic resuvour vent leaking hyd fluid.          
3119,blue tail rotor blade abrasion strip disbonding.  mrc-300 card 11.12          
8794,yellow blade lower centering socket plate installed in wrong direction.
9383,upper aft scissor bolt gauged.  abcd-23.5          
14005,main rotor will not index.  folds manually and spreads automatically.          
9287,mrh accumulator low          
22065,yellow main rotor spindle assy damper mount lug bushings damaged (none allowed) d-121.2          
15656,mrh hyd side low.          
8039,"blue abrasion strip missing, refer to fod inspection maf mcn 2ln4ita jcn q20274551."
4351,rh nlg tire worn          
15263,main rotor head forward scissor has multiple worn shoulder bushings.  abcd-23.5          
9932,aft scissors has vertical play
14610,"yellow, black, and red centering sockets loose. need to be shimmed.          "
1130,yellow upper lockpin seized.          
24984,pin hole in black tail rotor boot.          
575,corrosion found on black blade          
3753,mrh accumaltor pressure low
8683,upper aft scissor side to side play          
13067,"remove blue blade, reinstall w/n/b/m/c          "
13395,main rotor is out of limits          
8156,remove black blade tip cap as matched set with blade.
3926,lh nlg tq tube fitting has excessive wear in the bearing
21614,black t/r pitch control link outboard locking device teeth misaligned          
14177,mrh accumulator hydraulic fluid low.  a/c time now @ 387.8          
26122,black  spindle hardware worn          
1758,blow down bottle is underserviced          
520,rh wow switch 2 f(p)          
19297,mrh lower pressure plate torque check failed.          
23867,main rotor head accumulator is in the red.          
11149,blue hinge 10 o'clock position insert failed run-on torque check.
6156,main rortor head yellow blade  damper leaking fluid          
9060,main rotor head in flight vibes out of limits          
1128,blue tail paddle boot torn. card: 11.12          
24000,mrh accumulator low          
3211,main rotor swashplate scissor ball bearing worn on aft and fwd scissor assembly. card abcd-23.5          
317,main rotor head accumulator low          
19028,card d 124. red blade fold pl switch crushed.          
19866,mrh accumulator hyd reading past high green
4720,blue tail rotor boot torn
8680,tail rotor pitch beam retaining nut h/w worn.
16137,mrh accumulator hyd lvl low.          
6717,mrh accumulator is low on hydraulics
25539,perform mrh bleed and service due to mrh damper removal and installation.          
16925,mrh accum low a/c time now: 93.3          
449,perform full bleed and service of mrh accumulator due to removal and re-installation during phase jcn qg0014b00.          
8956,tail rotor indexer seized.          
3248,aft main rotor scissor bushings ool          
18156,mrh fluid level low. mrc 100 card 47.1          
3567,mrh accumulator low.
1673,aft scissor has up and down play          
15611,main rotor head accumulator is low and needs to be serviced.
25751,when conducting vh checks during c profile fcf there was a strong lateral vibration.          
17585,nick on forward expandable pin bolt.          
4518,lh nlg tire worn beyond limitations.          
20042,9-13 on outboard retention plate torque check failed.          
8959,fwd and aft swashplate scissor spherical bearings have up and down play. card abcd 23.4          
7266,blue mhr head damper leaking          
4456,rh main landing gear outboard tire out of limitations          
7192,red droop stop cam worn.
11312,mrh vibes ool
3895,replace lh ob mlg tire due to i-level error
22695,blue droop stop worn          
15442,swashplate accelerometer wire torn          
3831,mrh low          
2575,mrh accumulator reads red.          
2745,lh fw main landing gear door strut will not lock close.
2837,lh nose landing gear tire worn          
769,h/w maf for vert/drag load exceedence
2442,blue tail paddle tip cap worn.          
5844,mrh accumulator low.          
5753,yellow damper outboard bearing corroded ool.  mrc-400 card d 112          
2403,nose landing gear tires have low air pressure.          
23495,mrh vibes ool at 120 and 140          
27058,remove black main rotor blade for level ii preservation.
14798,tail rotor vibes out of limits          
73,perform tail rotor bias check due to phase.
9479,remove yellow main rotor blade. re-install w/n/b/m/c.          
6445,yellow blade fold not working properly.          
18977,main rotor head hydraulic side is low.          
4642,lh nlg tire has uneven tread wear from rh nlg tire          
26542,d 119.1. two red hub inserts failed run-on torque check.
7908,yellow and blue damper line qd's leaking out of limits.
19607,mrh ool final grounds          
21989,red and blue mrh damper inboard and outboard bearings worn          
21261,blue pitch lock sub assembly hub internally corroded and requires replacement. card d-121.3          
9443,red mr damper elbow jamnut loose.          
13616,tail vibes out of limits.          
12350,check main rotor swashplate mag pick-up stirker gap due to removal and replacement of striker assy.          
2096,hole on inside of black tail rotor boot.          
688,right hand nose landing gear torque tube fitting assembly bearing discovered having excessive play.
23850,main rotor head servicing low.          
4587,pilot and co pilot brakes spongy. required 3-4 pumps to bring aircraft to a stop effectively.          
442,test landing gear emergency extend iaw sss 054d.          
14022,main rotor head fluid low.          
10898,original:  478r9gl.  tail rotor indexer will not extend.          
2294,lh ob mlg tire is worn out of limits
15215,main rotor head accumulator low and red quick disconnect leaking.          
13435,in flight hover vibes ool
24447,perform ground vibration analysis          
5008,remove and replace component nomenclature pneumatic reservoir module;  part no: 901-380-501-103;  serno: 244
6622,ac-70.2 black tail paddle bonding wire broken.
3545,rh nlg tire worn through second layer of tread.
4441,lh ib mlg tire tread is less than 1/32 of an inch          
4126,nlg written up for pool stock resupply          
11455,perform post phase ground vibes.  card 30.          
17921,scir change:  00085md.  red blade fold motor inoperative.          
5971,mrh hyd level red          
19449,the main rotor head accumulator is low.
17734,main rotor head accumulator fluid low.          
19304,mrh low          
72,right nose landing gear tire worn          
3381,parts maf; needs nose tire to replinish pull-stock (lh)          
2420,corrosion on black mrh damper piston chrome ool
6925,forward scissor has up and down play.          
21927,mrh reads red          
1306,right hand shock strut high pressure gauge is leaking
19258,"main rotor head fluid level low. mrc-100. step 47.1,          "
9235,mrh accumulator low
918,install rh main landing gear wow switches
25154,black upper and lower lockpin pullers bearings worn beyond limits.
5018,black elastomeric bearing is gouged beyond limits. limit is .010 gouge at .015. card d-120.1
15168,red pcl failed torque check. *red inboard pcl* first failure *          
26193,perform tail rotor rig check          
24935,delamination on yell mrb near tip block area.          
6046,tail rotor red blade boot hole          
15639,red pcl inboard and outboard elastomeric bearings are disbonding. abcd-70.2
19077,all four mrh damper qds are incorectly safety wired.          
10604,red pcl bonding wire broken.          
23992,yellow outboard damper bearing worn out of limits          
23482,mrh black blade deice harness worn beyond limits          
27016,droop stop ring on red spindle worn
115,right hand nose landing gear tire is worn beyond limits.          
16420,abcd-23.4  aft scissor upper and lower bolts worn.
22877,remove blue mrh blade for pmi prep.          
21513,low mrh psi: 1500 red. mrc-100 step 47.1          
3388,nosewheel did not lock when tested during fcf.          
704,blue main rotor blade damper leaking fluid          
14911,remove black main rotor blade for pmi. reinstall when notified by maintenance control.          
23075,main rotor head hyd fluid low.          
6449,main rotor auto ool. target was 114. actual was 111 percent.          
6913,yellow blade fold hinge insert failed run-on torque check.
26758,"mrh accumulator low. a/c hours now: 1,097.5 hours."
7038,verify all tail pcl's in correct location.
6907,aft spherical bearing worn. out of limits. abcd 23.5
11399,card 70.2  step 9.4. outboard retention found to have gouges on outer surface of pilot bushing out of limits.          
26433," fwd. scissor have up, and down play, clicking sound can be heard.          "
25058,hole in black tail rotor boot.          
4960,back up brake power panel has worn fastener.  replace panel part number 901-172-119-113. poc ctr anderson.
14625,aft  scissor spherical bearing axial play out of limits          
9593,main rotor head servicing is low.          
21887,main rotor head in-flight autos out of limits          
4709,blue blade pitch lock gasket worn
25985,autos are out of limits. acutal was 123 and target is 118.5.
7216,mrh red blade centering socket has play
17627,the mrh hyd accumulator reads red          
18952,black blade fold motor is inop with blade fold box and new harness temp used on it.          
2262,lh outboard mlg tire tread wear limits*** corrcetion rh ib tire          
199,nose landing gear torque tube is worn          
14907,red centering socket and plug hardware worn d-119.1          
22244,remove the beanie for workcenter 120 full bleed and service of rotor head.          
25692,aft scissor loose on main rotor swashplate. iaw: a1-h60ca-mrc-300/card-24          
26284,remove yellow mrh damper for pitch lock actuator installation.  reinstall w/n/b/m/c.          
40,right hand main landing gear down and lock switch 1 f(p).          
4008,lh mlg tires need to be serviced          
13436,loose zip tie on all four spindle journal bearings.          
10803,yellow lockpin assy hw worn mrc-400 card d121.4          
5399,hole in red tail rotor boot.
12332,red mrb requires repair close to tip cap.          
24721,aft scissor spherical bearing has play          
954,left hand nose wheel tire assembly worn beyond limits.          
21581,red blade upper centering sockect worn          
15384,da low          
6414,lower centering socket on black blade loose iaw mrc-350.          
11703,perform full bleed and service of main rotor head accumulator.          
3920,tail rotor pitch change shaft bolt worn out of limits.
21938,adjust blad fold switches due to removal and reinstallation of spindles.          
1213,left nose landing gear tire has screw in tread. beyond tread depth limit
3551,scir change:  000a1gu.  remove and replace lh main landing gear outboard tire/wheel assembly.
7335,card 47.1- main rtr head acc is low. reading near red.
24267,cotter keys required for completion of damper 9-13 torque checks          
22628,blue blade upper lock pin switch safety wire loose.          
6457,blue and black tip cap rivets worn          
18436,main rotor head hyd accu red          
861,main rotor accumulator is low          
12161,hole in tr black blade boot          
19551,main rotor head accumulator low          
1125,rh nlg tire worn beyond limits          
3732,black mrh damper leaking from cylinder piston and hyd line b-nut.
20383,tail rotor vibes ool.          
305,emg blow down bottle depleted following replacment of the lgcu.          
27894,install yellow main rotor blade tip cap.
5825,mrb red damper outbpard bolt failed 9-13 tq checks          
20174,tail vibes out of limits
24906,mrh accumulator low.          
18754,blue tail rotor boot has a hole.
67,broken zip tie on yellow blade spindle.
26018,install blue anti-flap for administrative purposes.          
5535,red and black blade fold harnesses not completly installed. does not auto fold or spread.
5617,inbd and outbd damper bearings ool. card b-101.1          
14868,yellow tail rotor abration strip worn near pitch horn          
5986,remove all main rotor blades. re-install w/n/b/m/c.          
7793,perform main rotor ground tuning iaw-vib-200.
389,right nose landing gear tire worn past limits          
19616,"blue and yellow blade pitch lock dog bones are not torqued, safety wired or sealed. **correction lockpins**          "
15752,yellow main rotor blade pins found shorted to connector during heater mat test          
16826,main rotor head out of limits          
5194,mrh accum fluid low
977,mrh accumulator hydraulic side low.          
2320,blue and black pcls fail tq check.          
26829,mrh accum low.
21489,yellow mrh damper inboard and outboard bearings failed 30 hour check.          
8624,tail rotor vibrations out of limits.          
3004,lh mlg door strut is worn beyond limits          
25110,mrh low.
8885,remove red blade for pmi prep.          
10380,main rotor head accumulator fluid level low see mrc-100 step 47.1
2594,perform post phase initial ground vibration checks iaw a1-h60ca-mrc-400.          
17678,main rotor head accumulator fluid level low.          
2670,all damper's inboard and outboard  bolts worn beyond limits.
937,fretting/wear on aft scissors upper mount bore. abcd card-23.5          
17738,mrh accum low          
22626,igb low          
7114,main rotor head low
7095,red main rotor damper line is loose
27743,red mrh spindle elastomeric bearing has evidence of wear.
12093,perform ground vibration analysis (tail balance and tail pylon sigs) due to r&r of tail rotor flight control cable (mcn: 1n3omit / jcn: b00070496)          
1656,lh nlg tire worn beyond limits.          
23964,main rotor head accumulator low          
20271,multiple pitch control link elastomeric bearings worn.  abcd-29          
19225,main rotor head out of limits.          
23049,fwd scissor assy ool          
10139,tail vibe is out of limit          
15066,mrh accumulator hyd fluid level is low          
17490,red blade torque stripe broken on cam roler bearing assembly.          
27176,remove and replace component nomenclature mrb tip cap assy;  part no: 70150-09207-042;  serno: b849-16793;  pos cd: yellow
23377,red tail paddle tip rib corroded and deteriorated beyond limits.          
26265,red gear reduction housing jammed up          
1841,"upon inspection of the nlg steering collar key slot area. the right hand collar key slot has a vertical hair line fracture, tolerance for cracks is zero"
5147,tail vibes ool.
12237,main rotor head accumulator servicing low.          
16881,black paddle boot is torn. card: 11.12          
15096,mrh accumulater hydraulic level is low.          
9959,outboard nylon washer of yellow damper misaligned. slot is not in line with centerline of main rotor damper.
22721,mrh accumulator is low.          
4136,remove yellow blade to fom removal of yellow spindle. reinstall w/d/b/m/c.
11398,outboard retention plate gouged out of limits cards ac-70.1          
4759,lh ob mlg tire is worn.           
20811,mrh ool          
14345,mrh low.          
2374,lh nlg tire required to be replaced to maintain a matched set iaw na 04-10-506
11415,black tail rotor boot has small puncture          
18442,black main rotor head blade bumper and hardware worn out of limits          
7758,worn black hub liner. card d-119.1.
11752,yellow damper o-ring pinched requires replacement.          
8003,remove de-ice harness to facilitate the removal and replacement of red blade fold motro re-install when notified by maintenance control
8863,tail balance is out of limits          
1287,left outboard mlg tire tread out of limitations.
5269,black elastomeric bearing worn ool.  d-120.1
11899,blue spindle hardware worn          
10940,mrh accumulator hydraulic side low          
23576,mrh accumulator low          
590,nose landing gear out of range switch f(p)
20240,red paddle abrasion strip torn and lifting up.
26340,yellow droop stop worn          
16414,tail rotor ool.
4771,mrh accumulator low
1286,black tail rotor deice cannon plug pin pushed in.          
24696,blue blade anti-flap shim out of limits.          
27828,bare metal on mrh red blade
4712,mrh vibes ool.          
2465,mgb overserviced          
3974,left nlg has a cut exceeding the limit.          
16601,"(card 120.1) red elastomeric bearing worn ool, metal to metal contact."
10131,tail rotor indexer snapped
11644,bd-95 black mrh tip cap screws are worn.          
15538,red spindle hinge pin damaged ool.          
8404,upper pressure plate no. 6 bolt torque stripe broken.
242,main rotor accumulator damper pressure low          
21546,red lead stop shims ool card d119          
10070,remove and reinstall main rotor head beanie fom.
7583,black blade bim bad.  reads black
1144,lh nlg tire is worn beyond limitations
