,CORRECTIVE ACTION
18276,"bled and serviced main rotor accumulator iaw a1-h60ra-gai-000. hyd: high green, nitrogen: 1550 psi, temp: 27 degrees celcius, a/c time: 633.1. area fod free and secure at time of inspection.  "
3007,removed and replaced lh inbd mlg wheel bearing iaw sss 3210 ataf apaf aff used pema 15369  
54,blended damage area on tail rotor indexer crown iaw 150-300. area secure and fod free at the time of inspection. pema s/n: 76544.
24983,installed cotter key on accelerometer of swash plate iaw: 150-300. area secure. refer to q20105596 for qa fod search. pema: 76793.  
25878,removed and replaced upper #6 screw on blue mrb iaw 150-300. area secure and fod free.  
14777,removed and replaced mrh spindle shims iaw 150-300. all checks good. area secure and fod free.  
24478,performed weight adjustment of 120 grams to tail rotor quadrant 3 iaw a1-h60ra-vib-200. area secure and fod check complete  
13008,removed and replaced red blade iaw: 150-300. area secure and fod free at the time of inspection. refer to mcn: 46sitqa for pcr 9-13.  
276,"serviced mrh accum to yellow, 1550psi, 17c oat iaw: gai-000. area fod free and secure at time of inspection. current a/c time: 3455.7  "
8147,removed and reinstalled main rotor head slipring iaw a1-h60ra-410-300. area fod free and secure.
413,replaced lh ib mlg tire iaw sss 3240 ataf apaf aff pema03 correct tq of mlg axle nut 25-0-25 ft lbs. ataf apaf aff.  
4144,removed and replaced rh nose landing gear tire iaw sss 3240. ataf apaf aff.  
1754,"replaced nlg torque tube fittings iaw sss 3220. ataf, apaf,aff. pema 3 was used."
26177,performed post phase  ground vibration analysis iaw:a1-h60rs-vib-200. all vibs within limits. area secured and fod free at time of inspection.  
9146,performed adjustment on the tail rotor by adding 160 grams to quadrant 4 and 22 grams to quadrant 1 iaw vib-200.  area secured and fod free.  
7892,serviced main rotor head accumulator iaw gai-000. hyd side: high green. nitrogen: 1500 psi. oat: 22¿c. nitrogen bottle s/n: 006. hfsu s/n: 244. all checks good. area secure and fod free. ***correction: a/c hours: 2926.3.***
12902,removed and replaced blue inoard damper bearing iaw: a1-h60ra-150-300. area secure and fod free at time of completion.  
22174,removed and replaced blue mrb harness iaw 150-300.  area secure fod check complete  
4101,removed & replaced rh outboard mlg tire iaw sss: 3240. ataf apaf aff.
19426,"performed main rotor head adjustments to blue, yellow, and black. blue, down 2 clicks, yellow, up 4 clicks. black, up 7 clicks. area secure and fod free. refer to mcn: 1wda249 for ground vibs.  "
2791,serviced mrh accumulator iaw a1-h60ra-gai-000. oat 19 degrees c. 1500/yellow. time now 81.1 . area fod free and secure at time of inspection.  
3038,no maint perform admin maf  
10750,scir change close-out.  refer to mcn: 46siy1l 
1847,fwd scissor play within limits iaw 150-300. area secure and fod free.  
18082,removed and replaced fwd scissor hardware iaw 150-300. refer to mcn: 16pmpmg for scissor install. area secure and fod free at time of inspection.
8351,"removed and replaced red, blue, and black inboard and outboard damper bearings iaw a1-h60ra-150-300. refer to jcn: b20253a00; mcn: 249w3z5 for installation of dampers on aircraft. area secure and fod free at time of inspection. pema s/n 7fksa76073."
11620,removed and reinstalled pbr nut iaw 150-300. area secure and fod free at time of inspection. refer to mcn: 00jc5nz for 9-13 torque check.  
8025,visually inspected yellow b/f harness limit switches. no discrepancies noted. bladefold/spread operation op checks good iaw 150-200. fod and corrosion checks complete. all secure. pema 20-6fksa76278
9043,inspected and measured up and down play on aft scissor iaw 150-300. play measured at 0.018. max limits is 0.033. area secure and fod free. pema 6cksa67524
24484,"serviced mrh accumulator iaw gai-000. hyd level on high green, nitrogen pressure 1550 psi, and oat 18 degrees celcius. a/c hours of 3,777.2. refer to jcn: qg0156466 mcn: 00jax7 for conditional inspection. area secure and fod free at the time of completion"
9933,removed and reinstalled tb-10 iaw 420-300. area secure and fod free. pema 21-6cksa67642.  
3863,removed and replaced pitch beam iaw 150-300. area secure and fod check completed at time of inspection.
10741,removed and replaced red outboard damper bolt iaw a1-h60ra-150-300.  pema s/n 8432.  area secure and fod free.  
18204,removed and replaced yellow droop stop iaw: a1-h60ra-150-300. area clean and fod free. pema s/n: 6111.  
4402,removed and replaced yellow bim iaw 150-300. serviced yellow bim iaw gai-000. area secured and fod free. pema 6fksa75963.  
27211,
14819,repaired broken wires on vertical accelerometer iaw 150-300. op checks good. area fod free and secure.  
677,performed checkout procedure for blade fold iaw a1-h60ra-150-200. op checked good after resetting index in both directions. completed auto spread update and folded again. area fod free and secure at time of inspection. pema: 02832  
26290,serviced black blade bim to 9.75 psi iaw 150-300. checks good. area fod free and secure at time of inspection.  
8916,serviced main rotor head accumulator to 1500 psi high green iaw: gai-000. using hsu s/n 204 navy class 3 and n2 wab 000127. last serviced 982.8 current aircraft time 1027.1. oat 19c. area fod free and secure at time of inspection. ataf.  
11220,all parts recieved refer to jcn: qv0056a00 phase d inspection for instalation. area secured and fod check complete.  
13367,removed and replaced tail rotor boots on blue and black blade iaw 150-300. area fod free and secure during time of inspection.  
1834,installed yellow tip cap iaw ref:a1-h60ra-150-300. area secured and fod free.  
7687,adjusted yellow mr pcr +4 clicks iaw: a1-h60rs-vib-200. adjusted trim tabs for both red and blue mrb's +0.007 iaw: a1-h60rs-vib-200. refer to mcn: 46siggp jcn: qv0150598 for 9-13 tq check on yellow pcr. area secure and fod free at time of inspection.  
2979,removed and replaced lh nlg torque tube mount bracket iaw sss 3220. ataf apaf aff.  
14854,performed ground vibration analysis due to phase maintenance iaw: a1-h60rs-vib-200. ground vibrations are now witihin limits . area secure and fod free.  
24860,removed and replaced component nomenclature main rotor head damper assy iaw 150-300. area secure and fod free. maf needs to be qa required.  
27954,removed and replaced black blade iaw 150-300. adjusted pcrs for pretrack adjustment. refer to jcn: by0329292 for 9-13 tq checks. area secure and fod free. pema 6cksa67509.
8097,"removed and replaced main rotor head damper assy iaw 150-300.  part no: 70106-28000-048;  serno: a221-04259;  pos cd: blue damper checks good for torque and servicing.  refer to maf jcn: by0284389, mcn: 00cgfce for 9-13 torque checks.   all secure no fod "
27214,
4799,removed and replaced outboard retnetion plate iaw a1-h60ra-150-300. area is clean and fod free. refer to mcn: 47p4k6c for tail rotor retention plate  installation.
14771,"removed 17 oz from blue spindle, adjusted red prc -2 clicks and blue prc +6 clicks iaw vib-200. area is secure and fod free. utilized pema 44409.  "
6233,adjusted mr pcr iaw vib-200. adjusted red pcr down 5 clicks and black pcr up 1 click. area fod free and secure.  
12538,inspected main rotor head fwd scissor iaw 150-300. axial movement measured at .022 and limit is .033. movement within limits. area secure and fod free. pema s/n: 6fksa76012.  
23830,removed and replaced black lead stop bracket iaw 150-300. area secure and fod free. pema: 6fksa76035 refer to jcn: by0119a46 for shimming.  
731,removed and installed lh nlg tire iaw sss 3240. apf ataf aff
1543,installed rh nose landing gear tire iaw sss 3240. used pema 67332. ataf apaf aff.
1317,performed automatic blade fold iaw a1-h60ra-150-200. op checks good. area secure and fod free at time of inspection. pema 2dtya64644.  
9906,performed main rotor head adjustment iaw vib-200. adjusted -4 clicks on blue pcr and -2 clicks on yellow pcr. area secured and fod free.
20785,removed and replaced damper line and qd iaw a1-h60ra-150-300. refer to mcn: 26xibbb for full bleed and service. area secure and fod free at time of inspection.  
1447,right hand inboard mlg tire removed and replaced iaw sss3240. ataf. apaf. aff.  
1947,removed and replaced lh outboard brake assembly iaw sss 3240 pema 2487 preformed hyd analysis utilizing the pods method sys 3 ran navy class 0  
1199,"serviced mrh accumulator to 1400 psi, high green, oat 14¿c  iaw gai-000. current aircraft hours: 1,791.700. inspected all dampers for leak. all checks good. area secure and fod free at time of completion. refer to jcn: qg0353040 for excessive leakage cond"
2988,removed and replaced right hand nose landing gear tire iaw sss 3240. pema 2233. ataf apaf aff.
8281,"measured black lower centering socket gap at .006.  reshimmed black lower centering socket iaw 150-300. final measurement is at 0.000. checks good, area fod free and secure at time of inspection. *** qa required***"
20961,removed and replaced yellow blade tip cap as a match set due to replacement of mrh blade refer to mcn 2e4fxx7. area clean and fod free.  
24612,added 45.0 oz on red spindle and removed 20.0 oz  from black spindle  iaw: a1-h60rs-vib-200. area secure and fod free at the time of inspection.
13582,serviced mrh accumulator to low high green nitogen pressure at 1650 psi. iaw: a1-h60ra-gai-000. using hsu s/n 275 pulling a navy class 0. all checks good. area fod free and secure at time of completion.  
4467,serviced black blade bim iaw 150-300/ gai-000. black bim is good. area clean and fod free. pema 6fksa75963.  
9500,performed tail health vibes iaw a1-h60rs-vib-200. all vibes within limits. area secure and fod free at time of inspection.
12936,serviced mrh accumulator iaw a1-h60ra-gai-000. hyds second green. 1600psi. 20c. a/c hours 2292.6. area clean and free of fod. pema 6667  
4673,removed and replaced rh outboard mlg tire iaw sss 3240. ataf apaf aff. pema 7344.  
23098,"serviced mrh accumulator iaw gai-000. serviced to second green, 1600 psi 30 degrees celcius., 2507.1 flight hours. area secure and fod free. utilized pema 7521.  "
2011,serviced main rotor head accumulator iaw gai-000. navy class 3. hyds: yellow nitrogen: 1500 oats: 26 ¿c. time last serviced: 2056.2. time now: 2073.2. no conditional required. area secure and fod free.  
368,removed and replaced lh outboard mlg brake line iaw sss 3240. ataf. apaf. aff.  
1049,cannot duplicate gripe iaw items sss:3230 pema:01863 system op check good  
21946,serviced mrh to 2nd green hydraulic and 1650 psi at 27c iaw gai-000. current flight hours 3652.6. no conditional required. area secure and fod free. pema6fksa75963.
12205,serviced main rotor accumulator iaw gai-000. nitrogen: 1600 psi. fluid: high green. oat: 14c. a/c time now: 2960.9. hsu s/n: 320. nan-4b s/n: 135. area secure and fod free at time of inspection.  
132,removed and replaced mag pick-up striker iaw 150-300. area is fod free and secured. pema s/n: 6fksa76012  
22473,"adjusted tail rotor cables to within limts iaw a1-h60ra 140-300.  port cable: 33 (175lbs), stbd cable: 33 (175lbs) at 87 degrees fahrenheit.  refer to mcn: 47p4nbd, jcn: q80233127 for 4-13 hour stabilization check.  area secure and fod free. pema s/n: 120"
930,"sealed hole in yellow tail paddle boot iaw srm-000. area clean, secure, and fod free  "
27489,
8884,completed cards bd 87-87.1 iaw reference: 150-300/ mrc-400. area secure and fod free at time of inspection.  
17857,"all parts received, no maintenance performed. refer to mcn: 47p3utz for phase a maf. maf was initiated as a dm, should have been initiated as a pf.  "
20467,"serviced main rotor head accumulator to high green, 1650 psi at 24 degrees celcius. iaw gai-000. current ac time is 3734.2 flight hours. area secure and fod free. pema 76353"
10777,"serviced mrh accum iaw gai-000. checks good with hyd: yellow, nit: 1550, oat: 31 degrees celcius . area secure and fod free. a/c time now: 2380.1  "
10817,serviced mrh accum iaw gai-000. hyd gauge reads second green. nitrogen gauge reads 1700 psi. 29 degrees celcius. last serviced at 121.0 flight hours. current flt hours 185.6. no conditional inspection requried. area secure and fod free. pema #6fksa76035  
1222,removed and replaced nose landing gear shock strut iaw sss 3220. system 3 sample ran a navy class 0 utilizing pods analysis. pema 76591 used. area free of fod.  
12932,inspected leakage on red damper iaw gai-000. no leakage noted at the time of inspection. area clean secure and fod free. pema 7521.  
293,serviced rh mlg strut iaw sss 1210 ataf apaf aff pema 7381  
26434,inspected bifilar assy bushing between arm1 and arm2 right hand iaw 150-300. bushing is not cracked. scratch is within limits. pema: 6cksa67524. area secure and fod free.  
25951,removed and reinstalled swashplate vertical accelerometer iaw 150-300. vertical accelerometer op checks good iaw 110-200(imds). fod and corrosion checks complete. all secure. pema 71-8fkka48475
7120,removed indexer for pmi prep. iaw a1-h60ra-260-200. area fod free and secured at time of inspection.
5834,removed and replaced black elastomeric bearing iaw 150-300. refer to mcn: 1gti1uk for 9-13 flight hour visual inspection. refer to mcn: 1gti1br for installation. area secure and fod free.  
1928,removed and replaced rh ob mlg tire iaw sss 3240. ataf. apaf. aff.  
4078,"  bled system 3 and parking brake, discrepancy was not corrected, for corrective action refer to mcn:1gfcav5 jcn:fc7170025. ****correction: bleeding of sys 3 was not necessary, the discrepancy is the back up brake module.  refer to mcn:1gfcav5 jcn:fc71700"
18532,removed and replaced safety wire on red lower lockpin link bolt. checks good iaw 150-300. area secure and fod free at time of inspection.  
251,serviced mlg schock strut iaw sss 3210. ataf. apaf. aff.used pema 15369  
13890,"removed and replaced tail rotor blade iaw 150-300. area secured and fod free at time of maintenance. refer to qg0095455 and qg0095456 for 9-13 tq checks. qg0095397, qg0095398 & qg0095401  "
12253,removed old hub liner and installed new black spindle hub liner iaw 150-300 area secure and fod free at the time of inspection.  
5419,"removed corrosion, cleaned, and preserved nut on blue blade droop stop iaw na-01-1a-509. area fod free and secure."
4074,added 119 grams to quadrant 1 and 69 grams to quadrant 2 iaw a1-h60rs-vib-200. area secure and fod free at time of inspection. refer to mcn: 47p4khe for ground vibes.
9909,"inspected blue mrb tip cap iaw srm-000. cosmetic paint chip. checks good. area secured, fod check complete.  "
10614,sealed hole on yellow trb boot iaw srm-000. ietm #4kya45187. area clean and fod free.  
9685,removed yellow tail rotor pitch control link.. iaw: 150-300 pema 5fkya30791 area clean and fod free
16899,measured forward and aft scissor bearing for up and down play iaw 150-300. fwd measured at .015 and aft measured at .025. both within limits. area secure and fod free. used pema 4  
9063,"installed 28 grams to quadrant 3 and 199 grams to quadrant 4 iaw vib-200. area clean, secure and fod free.  "
1772,"added 178 grams to quadrant 2, added 94 grams to quadrant 3 iaw vib-200 and imds recommendation.  checks good. refer to mcn 1h095dw for initial ground vibes. area is secured and fod free.  "
27089,
5116,removed and replaced yellow tail rotor boot iaw 150-300. area secure and fod free.
6108,removed and replaced all upper centering sockets iaw: a1-h60ra-150-300. area is clean and fod free. pema sn: 2828.  
20262,performed post phase ground vib analysis iaw vib-200. all ground vibs are within limits. area fod free and secure.  
