,CORRECTIVE ACTION
18641,serviced mrh accumulator iaw gai-000. hyd fluid reads high green and nitrogen pressure side reads 1350psi. oat 22* celcius. a/c hours is 1375.8. navy class 0.  
18876,"serviced mrh accumulator iaw: gai-000. serviced to high green, 1450psi, oat 17c, current ac time 2337.9. area secure fod free. no conditional required.  "
27318,
24943,removed and reinstall all mrh blades iaw i50-300. area fod free and secure.  
3015,replaced l/h wow switch 1 iaw ietm sss:3221 ataf.apaf.aff.  
19460,"serviced main rotor head accumulator in accordance with a1-h60ra-gai-000. hydraulic fluid level in yellow, nitrogen at 1650psi. a/c hours: 1157.5. area secure and fod free. pema s/n: 8878."
27091,"removed corrosion from red pitch horn adel clamp bracket hardware. cleaned and treated in accordance with 01-1a-509. area is clean, secure and fod free. pema s/n: 7iksa26143."
4521,serviced black bim to 12psi iaw: a1-h60ra-gai-000. area secured and fod free at time of inspection.  
1974,serviced tires iaw sss 1210. used pema 67332. ataf apaf aff
4050,removed 14 oz on blue spindle and added 52 oz on red spindle iaw:a1-h60rs-vib-200. all checks good. area secured and fod free at time of inspection. all vibs within limits.  
4892,
14326,"removed corrosion, cleaned treated and preserved with cpc type 2 blue lockpin puller  dogbone h/w iaw 01-1a-509 and srm-000. refer to jcn: pq4330281 for new sealant maf. area is secure and fod free."
9007,"performed axial play inspection for fwd scissor spherical bearing iaw reference: 150-300 wp 017. exceptable limits : .033    measured value: .015. scissor assy within limits, area secure and fod free."
9206,removed and re-installed tail rotor paddles iaw 150-300. all checks good area secure and fod free.  
12005,realigned damper elbow to be parallel with damper centerline iaw 150-300. sealant not applied. refer to mcn:00jdt3j for sealant application. area fod free and secure.  
25213,added 16 grams on quadrant 1 and 74 grams on quadrant 2 iaw:a1-h60rs-vib-200. area secure and fod free.  
21009,refer to jcn: qg0008a03 / mcn: 00jcdqw and jcn: qg0019442/ mcn: 00jcdqz for completion.  
10140,removed and replaced red damper inboard spherical bearing iaw a1-h60ra-150-300. area is secure and fod free at time of inspection.
4358,replaced lh ob brakes iaw sss 3240. used pema 67347. ataf apaf aff.  
714,"removed corrosion, cleaned, treated, and preserved blue anti-flap h/w with ams3265 iaw: 01-1a-509 and a1-h60ra-150-300. area secure and fod free. cure check good."
6969,removed and replaced black tail rotor tip cap iaw 150-400.  area secure and fod free.  pema s/n: 8fkka48489.  refer to mcn: 00cgi4m for paint.
24365,"removed cotter key, torqued outbord pcl to 200inlb iaw:150-300. area secure and fod free. refer to jcn: q70156325 for new 9-13.  "
7495,inspected red tail rotor boot iaw 150-300. tear within limits. repaired iaw srm-000. area secure and fod free. pema: 6cksa67629  
25908,all parts recieved. placed in w/c 110 cage.
21765,removed and replaced fwd transcducer iaw 140-300. blade fold worked as advertised iaw gai-010. area fod free and secure.  
16583,saftey wired blue pitch lock housing iaw 150-300. all checks good. area secure and fod check complete.
3175,serviced tires iaw sss 1210. used pema 67332. ataf. apaf. aff.  
14003,sealed small hole in black tail rotor boot iaw srm-000. ataf. area secure and fod free.  
17749,"mrh fluid gage is indicating low low green. mrh accumulator is within limits iaw gai-000 servicing check-mrh accumulator, step b. area secure and fod free at time of inspection. ng 1500 psi  "
10930,shimmed aft scissor iaw 150-300. pema: 6fksa76012. area secure and fod free.  
13201,removed and re-installed fwd scissor  to facilitate the removal of main rotor head for  swashplate removal and replacement. area secured. fod check complete at time of inspection.
2549,serviced mrh to second green 1650 psi. outside air temp 26c current a/c hours 3646.4. area corrosion and fod free. refer to mcn 00cdq2a for conditional. pema 6fksa75963.  
3075,"serviced mrh accumulator iaw gai-000. hyds in the yellow. nitrogen is at 1450 psi. outside abient temperature is at 18 degrees celcius. aircraft flight hours are at 2,907.5. conditional required. refer to mcn: 00cczi1. area clean and fod free. pema-6fksa7"
548,"removed and installed red, yellow, and black pcl attaching bolts and washers iaw 150-300. area fod free and secure. refer to jcn: q60136412 for 9-13 tq checks  "
4853,serviced emergency landing gear blowdown bottle iaw sss 1210. ataf apaf aff. pema 7344
18982,performed main rotor head pcr adjustments iaw a1-h60rs-vib-200. adjusted yellow blade +3 and adjusted black pcr -2. area secure and fod free at time of inspection.
23268,removed and replaced red blade iaw 150-300.  area secure and fod free.  pema s/n: 8fkka48475. refer to jcn: by0323199 for intial torque and jcn: by0323200 for 9-13 torque check on tip cap.
23821,removed and replaced h/w on aft scissior iaw a1-h60ra-150-300. area secure and fod free at time of completion.
21350,removed and replaced blade fold control panel iaw reference: a1-h60ra-150-300.  op-checks 4.0 iaw reference: a1-h60ra-420-200.  area secure and fod free at time of inspection.
858,"refer to mcn: 2x3x77c for replacement of packings and bleeding of mlg brake system. ataf, apaf, aff. pema2403.  "
8859,"serviced main rotor head accumulator hydraulics using hsu 262 navy class 2. hydraulic side is at high green. nitrogen is at 1600 psi. within limits iaw a1-h60ra-gai-000. a/c time: 2230.6 oat 25*c. area secure, clean and fod free. refer to conditional mcn:"
3444,removed and replaced r/h nlg tire iaw sss3240. ataf apaf aff  
9897,removed and replaced outbord black damper bearing iaw a1-h60ra-150-300 wp16. area cleaned and fod free. ietms48953.  
16969,installed red main rotor blade iaw a1-h60ra-150-300. area secure and fod free at time of inspection.  
19694,parts received. refer to mcn:25b7qc6 for installation. iaw mrc-400. pema 7959. area secure and fod free.  
14298,"verified broken safety wire on yellow lock pin puller, all pieces accounted for. verfied torque of nut, torque checks good iaw 150-300.re safety wired. area fod free and secure at time of inspection. pema:3  "
2864,"installed mrh accum iaw 150-300 and gai-000 using n-2 wab s/n: 127 and hsu s/n: 204 (navy class: 2). mrh is at 1700 psi high green, oat: 18 degrees celcius. a/c hours time now : 3272.1 accumulator checks good at time of inspection. area fod free and secu "
20970,adjusted red tail paddle pcl iaw a1-h60ra-140-300.  new measurement is 3 degrees. utilized rig kit s/n: lke-5182-059 and daps s/n: 8407-0010. area secure and fod check complete.
23163,removed and replaced red tail paddle rivets iaw 150-300 and 01-1a-8. area secure and fod free. pema 27978.
6199,"inspected spindle iaw 150-300. found that black spindle droop stop ring was grinding internally. applied lubrication and binding is no longer present. waited 10 minutes and cycled flight controls again, no binding noted. area secure and fod free. used pem"
6437,added 99 grams to qd 1 added 39 to quad 4. iaw vib-200 area secure and fod free. pema 6fksa76279.  
24232,"performed bleed and service  iaw a1-h60ra-gai-000. utilized n2 bottle sn:210, hsu sn:210. serviced hydraulic gauge to yellow and nitrogen to 1500 psi @ oat 30c. time last serviced 1018.4  time now 1098.2. area fod free and secure. hsu navy class '0'  "
257,"replaced rh nlg tire iaw sss 3240. ataf, apaf, aff. used pema 67371  "
12839,"removed and replaced d/a iaw 150-300, gia-000. tqw# 8756.  "
24235,"reshimmed black lower centering socket iaw 150-300. area clean, secure and fod free.  "
4118,replaced rh nose landing gear tire iaw sss 3240 utilizing pema 01112 ataf apaf aff.  
302,"serviced mrh accum iaw gai-000. hyd side: yellow nit press: 1450. area clean, secure and fod free. pema serno 6739.  "
13941,"main rotor head properly serviced iaw gai-000. hyd: yellow. nit: 1700. 38 c'. time: 475.6 hrs , area secure fod check complete.  "
25869,removed and replace aft scissors sphearical bearing iaw a1-h60ra-150-300.area secure and fod check complete.
3943,performed wire checks fromm fcc 3 to landing gear iso valve iaw ietm sss troublshooting task 2921f8fi 03. system works as advertised. all wire checks are good to include internal resistance checks into the landing gear iso valve. pema 02100 was used.ataf 
26240,serviced mrh accumulator iaw a1-h60ra-gai-000. hyd level:high green nitrogen:1530psi ambient temp:20celcius a/c time 3766.100. area secure and fod free at time of inspection.  
10467,serviced main rotor head accum iaw gai-000. area secure and fod free. oat: 10 degrees c. fluid: top of lower green. nitrogen: 1450psi.  
18871,serviced main rotor head accumulator iaw: a1-h60ra-gai-000. hydraulic gauge reads top of yellow & nitrogen reads 1600 psi. oat: 27*c a/c time: 2264.3 all checks good. area fod free and secure at time of completion.  
21576,removed and replaced bolt iaw 150-300. area fod free and secure.  refer to phase b mcn: 40b9u4f for installation.  
19168,removed and replaced outboard retention plate iaw a1-h60ra-150-300. area secure and fod free.*** correction: torque outboard retention plate bolts to 55 ft lbs iaw 150-300***  
19890,"serviced mrh accumulator to yellow at 1500 psi  iaw gai-000. hsu 300 navy class: 0. a/c time is now: 2243 , oats: 10 c. all checks good, area fod free and secure.  "
9517,"performed vibration analysis on tail. added 25gram to quad1, 61gram to quad2 iaw vib-200. area secure and fod free.  "
771,removed and replaced nlg drag strut iaw sss 3220 pema 1531 preformed hyd analysis utilizing the pods method sys 3 ran navy class 0 all checks good  
11034,removed and replaced aft mr scissor sperical bearing iaw a1-h60ra-150-300. area secure and fod check complete.  
17675,removed red main rotor blade and tip cap assy as a matched set. tip cap will be turned into supply attached to main rotor blade assy. used pema 4ktya45034. area clean and fod free.  
23833,serviced mrh accumulator to the low side of the high green iaw: a1-h60ra-gai-000. using hsu s/n 275 pulling a navy class 2. nitrogen pressure remains at 1650 psi. all checks good. area fod free and secure at time of completion.  
12006,replaced safety wire iaw 150-300. refer to jcn: pq4256895 for fod search. area secure and fod free.  
22347,"serviced mrh accumulator iaw gai-000. hyd level on high green, nitrogen pressure 1600 psi, and oat 14 degrees celcius. a/c hours of 3,068.6. area secure and fod free at the time of completion.  "
8208,removed and replaced worn droop stop on blue maint rotor blade iaw 150-300. all checks good. area secure and fod free at the time of inspection. refer to q20259a37 for indexed part. pema 76544.
27654,
917,inspected blue paddle tip cap iaw srm-000. tip cap rivets are slightly worn but still secure. area fod free and secure at time of inspection.  
8877,removed and replaced black mrb bim indicator and serviced blade iaw 150-300.  area secure and fod free.  
9973,"added weight to tail quadrant 1: 11 grams, quarant 2: 223 grams iaw vib-200. pema: 7879. area secure and fod free."
14222,installed number 6 lower tip cap screw iaw: a1-h60ra-150-300. area secure and fod free at time of completion.
11364,removed and replaced inboard yellow damper bearing iaw a1-h60ra-150-300. area fod free and secure at time of inspection.
1819,applied sealant on blue tail roter boot iaw smr-000. area clean and fod free.  
7152,inspected black trb zip tie. tightened zip zie. checks good iaw 150-300. area secured and fod free at time of inspection.
5632,removed blue main rotor blade iaw a1-h60ra-150-300 wp 028. installed yellow mrb on the blue spindle iaw a1-h60ra-150-300 wp 028. tq blade to 282 ft-lbs and applied safety wire.
10599,removed and replaced black tail rotor blade boot iaw a1-h60ra-150-300. area fod free and secure.  refer to jcn: qg0219287 for blk tail pcl 9-13.  
6281,"serviced mrh accumulator iaw gia-000. hyds serviced to high green, nitrogen to 1600 psi, oat: 16 degrees celcius. area is secure and fod free at time of completion.  "
2843,serviced lh and rh ib/ob mlg tires and lh and rh nlg tires to proper pressure iaw sss 1210. used pema 67341. ataf apaf aff.  
5938,removed and replaced aft scissor bearing iaw 150-300. area fod free and secured at time of inspection.  
4498,removed and replaced rh nlg tire iaw sss 3240. ataf apaf aff. used pema 76580  
128,"refer to mcn: 00jcrce, jcn: qg0080535 for corrective action. area fod free and secure at time of inspection. ******refer to mcn 00jc9oh for parts complete. could not change wuc because parts were complete. black blade was selected vice blue*****  "
11540,rremoved and replaced blue tail rotor blade seal boot iaw 150-300. area secure and fod free.  
9674,"serviced main rotor head accumulator with mil-prf-83282 iaw a1-h60ra-gai-000 using hsu s/n: 262, navy class 0. hydraulic gauge is at the bottom of the yellow. nitrogen gauge is at 1550 psi. oat reads: 25 degrees celcius. area clean and fod free at time of"
3672,removed and replaced left hand nose landing gear tire iaw sss 3240. ataf apaf aff.  
413,removed and replaced red blade elastomeric bearing iaw a1-h60ra-150-300. area secure and fod free.  
15143,"serviced main rotor head accumulator iaw gai-000.  hyd side middle second green, ntiro 1600, oat 29c. a/c flight hours: 2036.800.  area secure and fod free at time of inspection. pema: 27569.  "
820,removed and replaced main rotor head accumulator iaw a1-h60ra-150-300. performed full bleed and service iaw a1-h60ra-gai-000. accumulator hydraulic side is at bottom of second green at 1600 psi of n2. oat is 26 degrees celsius. pema 53 s/n 6fksa76277. are
16253,removed and replaced black spindle iaw a1-h60ra-150-300. torqued bolts to 80 ft/lbs or 960 in/lbs. area secure and fod free at the time of inspection. pema: 14925  
482,replaced nose landing gear bellcrank assembly iaw sss 3220. pema 2506. ataf. apaf. aff.  
10673,"cleaned tr pitch beam iaw 01-1a-509, inspected tr pitch beam bushing iaw mrc-400. no corrosion found. area secure and fod free.  "
9073,applied torque stripe on yellow pcr. checks good iaw 150-300. area secure and fod free at time of inspection.  
4082,removed and replaced yellow blade fold harness iaw 150-300. op checks good iaw 150-200. pema 21-6cksa67642.  
13897,"main rotor head accumulator is within limits (did not require servicings) iaw a1-h60ra-gai-010.  hyd fliud side is at middle of first green, 1450psi and 19 degrees celsius. area secure, clean, and fod free. pema s/n 7iksa25995.  "
540,removed and replaced blue main rotor damper hydraulic line iaw 140-300. area clean and fod free. pema s/n: 6cksa75997.  
4226,rh/lh nlg tires serviced iaw sss 1210 ataf apaf aff pema 67347  
1869,"serviced mrh accumulator iaw 150-300 and gai-000. hsu s/n:284 navy class 0. pods s/n:00183.  hyd side: middle high green, nitrogen 1600, oats 22c. last flight hours:3387.1. acft hours now 3399.1. no conditional required.area secure and fod free.  "
4863,replaced exterior landing gear down light bulb iaw ietms sss 3260. system op checks good. aff ataf apaf.  
4631,"serviced mrh damper accumulator with mil-prf-83282 iaw a1-h60ra-gai-000. serviced to low high green, 1650 psi. oat 23 degrees celsius. navy class 2. area fod free and secure at time of inspection. a/c time now: 2704.3"
25411,performed tail rotor 3 degree bias. blue and yellow pcl's within limits. made adjustments to red and black pcl's to obtain 3.0 degree pitch +/- 0.1 degree iaw 140-300 using pema s/n: 6019. area secure and fod free at time of inspection.  
15244,measured forward scissor up and down play iaw 150-300. movement was measured at .013 and limits is .033. movement within limits. area secure and fod free. pema s/n: 6fksa76012.  
16637,added 60g to quadrant 1 and 120g to quadrant 4 iaw the onboard station and a1-h60rs-vib-200. area secure and fod free at time of inspection. pema s/n: 6cksa67512.
12473,"properly serviced mrh accum iaw gai-000. hyd side: second green, nitrogen side: 1500 psi. area secure, clean, and fod free. pema 6fksa75955."
15959,"performed ground vibration analysis iaw vib-200. all vibes check good, area fod free and secure.  "
17311,"removed and replaced yellow blade  iaw: a1-h60ra-150-300. pema used 2743, area secure and fod free.  "
20638,"serviced mrh iaw a1-h60ra-gai-000. hyd at high green, nit at 1450 psi, oat 23 degrees celcius a/c time: 1948.9. area secure and fod free.  "
11587,removed and replaced yellow main rotor blade iaw 150-300. area clean and fod free. ataf  
3779,removed and replaced lh nlg tire iaw sss 3240. ataf apaf aff.
21093,inspected yellow main rotor damper iaw a1-h60ra-150-300.  leak is coming from differential check valve screw.  leakage is allowed per a1-h60ra-150-300 wp16 step e. 3a.  pema s/n 2922.  area secure and fod free.  
22435,"serviced mrh using hsu 216 navy class 0 pods 0458 iaw: a1-h60ra-gai-000, all checks good. hyd high green, nitrogen is at 1600 psi.  oat is 20 degrees celsius. a/c hours hours 2606.8 conditional n/a. area clean and fod free at time of completion.  "
6029,"removed safety wire, torqued one bolt on plug iaw a1-h60ra-150-300. no movement was made at 15 inch lbs. resafety wired. area secured and fod free at the time of inspection.  "
23953,serviced mrh accum to 2nd green iaw gai-000. nitrogen at 1700 psi oat 23 degrees celcius. current flight hours: 2717.5. no conditional required. area secure and fod free. pema 6cksa67650.  
22450,removed and replaced black reduction gear housing iaw 150-300. fod and corrosion checks complete. all secure. pema 18-6fksa75997
1218,"adjusted red pcr up 5 clicks, blue pcr down 15 clicks and yellow pcr down 5 clicks iaw: vib-200 and 150-300. refer to mcn: 46sixlb jcn: qv0362306 for 9-13 on blue, yellow, red. area secure and fod free at the time of inspection.  "
25967,removed and replaced red upper centering socket iaw reference: 150-300. area secure and fod free at time of inspection.  
10482,main rotor head serviced with hsu 270 navy class 0 to yellow 1550 psi iaw: a1-h60ra-gai-000. oat: 28 degrees celcius. excessive leakage maf: qy0169404. area secure and fod free at time of completion. a/c time now: 2321.0
16416,serviced main rotor head accumulator iaw a1-h60ra-gai-000. hyd: yellow. n2: 1500 psi. a/c hours: 605.5. oat: 29 degrees celcius. area secure and fod free at time of inspection.  
13740,applied sealant on hole in red tail rotor boot iaw srm-000. area secure and fod free.
3894,serviced all mlg tires iaw sss 1210. ataf apaf aff. used pema 67330
19359,serviced mrh accumulator to 1500 psi high green at 10 degrees celcius iaw gai-000. all checks good. area fod free and secure. aircraft time now: 4103.9.  
17596,serviced mrh accumulator iaw a1-h60ra-gai-000 to yellow 1600 psi o.a.t. 20 degress celcius. area secure and fod free at the time of inspection. used hsu 216 navy class 0.  
16327,cannibalized (buno: 168101 mcn: 1xlm1an) removed and replaced black reduction gear housing iaw 510-300. refer to jcn: q60068572 for opcheck. area is fod free and secure.  
2937,removed and replaced lh ob mlg tire iaw sss 3240. used pema 67339. ataf apaf aff  
3695,"performed lds and pas rig checks on #1 and #2 engine iaw 220-300. rig checks good, no discrepancies noted. area is fod free and secured. pema s/n: 6fksa76012  "
4591,removed and replaced forward scissor assy iaw 150-300.  area secure and fod free.  
22379,np is within operational limits iaw gai-000. limits are  max continuous-  105.2% // 20 second transient- greater than 105.2% // 12 second transient- 117.2% // maximum- 121%. area secured and fod free.
10489,re applied torque stripe to aft scissor bolts iaw 150-300. area secure and fod free at time of inspection.
3768,removed and replaced nlg wow proximity sensor no. 2  iaw ietems sss:3220. for op check refer to mcn/jcn: 4dnq1tj/gdl136087. ataf. apaf. aff.  
10410,installed yellow blade fold actuator iaw 150-300. refer to mcn: 2e4fy3g jcn: am0045039 for fold harness and switch installation. area secure and fod free.  
1504,removed and replaced lh nose tire iaw sss 3240 ataf apaf aff.  
26106,removed and replaced red damper iaw: a1-h60ra-150-300. area secure and fod free at the time of inspection.  
9028, removed and replaced red mrh damper outboard bearing iaw a1-h60ra-150-300. area secure and no fod found. refer to mcn: 1v4yz1m for 9-13 flight hour torque check.  
1993,"performed emergency extention test iaw sss:3221, pema sn:44688, cameo version:1.3.10. area fod free.  "
2080,"rh nose landing gear tire removed and replaced iaw sss3240 ataf, apaf, aff. pema used 1913  "
23808,refer to mcn:25b7y15 for duplicate gripes corrective action.  
7704,removed and replaced blue hinge cam follower iaw a1-h60ra-150-300. area is secure and fod free. pema 8884
10791,refer to jcn a21219409 for excess leakage of damper conditional.  area secure and fod free at time of inspection.  pema 7521  
18225,replaced abrasion strip on red paddle iaw 150-300. checks good. area fod free and secure at time of inspection.  
7088,"serviced main rotor head accumulator to yellow, nitrogen 1500psi iaw a1-h60ra-gai-000. area is secure and fod free. used pema sn 5fkya30703.  "
7981,inspected mrh accum iaw gai-000. mrh accum is in the first green at 1600 psi. mrh accum is within limits. area secure and fod free. ietm sn 6fksa75963.
11442,"performed tail rotor adjustment, removed 136 grams from quadrant 1 and removed 68 grams from quadrant 4 iaw a1-h60ra-vib-200. area secure and fod free at time of inspection."
3739,inspected red mrh blade bim indicator iaw 150-300. red mrh blade bim is within limits at 8 psi at 13¿c. area secure and fod free at time of inspection. used check and fill unit s/n: 62059-14.
4131,repaired blue tail paddle boot iaw srm-000.  area secure and fod free.  pema 6cksa67629.  
12934,"performed tail rotor balance iaw vib-200. vibes within limits. fcp is lt c murphy. area clean, fod free and secure. pema#6fksa75970.  "
22598,removed and replaced safety wire on red blade fold stop switch iaw 01-1a-8. all checks good. area secure and fod free at the time of inspection.  
24510,removed and replaced black elasto iaw 150-300. area fod free and secure. refer to jcn: qgo149393 and mcn: 00jf9ju  for 9-13  
14788,repaired blue tail rotor boot iaw a1-h60ra-srm-000. area secure and fod free at time of inspection.  
10672,duplicated maf. refer to mcn: 00jdi76 blk trb abrsn strip torn  
23771,removed and replaced aft main rotor head swashplate scissor assembly iaw a1-h60ra-150-300. area fod free and secure.
22311,installed blue pitch lock motor iaw 150-300.  refer to jcn by0164034 for opcheck of blue pitch lock and blade fold. area secure and fod free.  pema 8fkka48475
10185,serviced main rotor head hydraulic accumulator to second low green and 1550 psi of nitrogen at 67 degrees fairinhiet in accordance with a1-h60ra-gai-000. area clean secure and fod free. pema 6fksa75795 was used. current aircraft hours 547.5. no further ac
17798,remeasured elastomeric bearing iaw 150-300. shim size requires size 17 bolts . area is clean and fod free.  
13955,removed and replaced blue and black tail paddle iaw:150-300. reffer to ground vibes maf jcn:00jdbqt and reffer to new 9-13 jcn: 00jdbxf/ jcn:00jdbxg/ jcn:00jdbxi. area fod free and secured.  
5171,removed and replaced tail rotor indexer iaw 150-300 wp 27.  checks good iaw 150-200.  area fod free and seucre.
18973,"serviced mrh accumulator iaw gai-000. hyd: high green; nitrogen: 1600psi; oats: 19c; aircraft hours: 2,2679.0. no conditional required. area fod free and secure.  "
8893,re-shimmed black blade lower centering socket iaw 150-300. area secured and fod free.  
23616,"removed and replaced black blade hinge 12 o'clock , 3:o'clock  and 8 o'clock position inserts iaw a1-h60ra-150-300. checks good. area secured and fod free at the time of the inspection. refer to mcn 00jehlx jcn qg0025134 for installation of black mr blade"
766,"removed and replaced lh nlg tire iaw sss 3240. ataf, apaf, aff, pema 2249."
17409,serviced main rotor head fluid level with hsfu s/n: 291 to yellow and nitrogen pressure to 1450 psi iaw gai-010. ambient temperature was 32 degrees celsius. area secure and fod check complete.  
9800,"serviced mrh accum iaw a1-h60ra-gai-000. hyd side in high green,  nitrogen at 1450 psi, oat is 23 degrees celsius, aircraft time is 2,433.1.  hsu s/n: 245. area secured and fod free.  "
26932,"adjusted mrh pcr's red pcr: 6 clicks up, blue pcr: 7 clicks down and yellow pcr: 11 clicks down iaw vib-200. area secure and fod free at time of inspection. pema 6cksa67524."
14104,removed and replaced hub insert iaw 150-300. area fod free and secure.  
475,removed and replaced rh mlg ob tire iaw sss 3240. ataf. apaf. aff.  
21455,removed and replaced yellow main rotor blade tip cap as match set with mrh blade iaw 150-300. area secure and fod free.  
20587,received fwd x-pin will install when bridge is installed iaw a1-h60ra-mrc-350. area clean and fod free. refer to mcn 2e4h6m3.
2738,removed and replaced tail rotor pitch beam iaw 150-300. area is clean and fod free. pema s/n:6cksa67609  
5048,removed and replaced yellow blade fold motor iaw 150-300. area secure and fod free. pema: 6fksa76035 refer to mcn: 00cg2rm for switch adjustment and blade fold motor op check.
3741,removed all corrosion from pcl jamnuts in accordance with 01-1a-509-2. area fod free and secure at the time of inspection.  
10480,"all red droop stop parts received. refer to phase ""d"" mcn: 26xj7y9 jcn: qy0063a00 for installation. ***consumable parts indexed***"
22256,replaced black blade bumper hardware iaw a1-h60ra-150-300. area secure and fod checks complete  at time of inspection.
20627,serviced mrh accumulator hyd: yellow// n2:1400//temp: 18c iaw gai-000. all checks good area secure and fod free at time of completion.
19892,verified aft scissor spherical bearing was within limits iaw a1-h60ra-150-300 wp 17. limit .033 in. observed play was .027 in. area secure. fod checks complete.  
27656,
8709,"serviced main rotor head accumulator iaw gai-000. hydraulic fluid level at the bottom of the second green. nitrogen side at psi 1600 psi. oat degrees 25 celcius. current flight hours 3121.1. area secure, clean, and fod free. pema 6fksa75963. refer to mcn:"
761,removed and replaced right hand mlg door strut. iaw sss 3210. ataf apaf aff pema 7  
607,applied torque stripe on red pcr. checks good iaw 150-300. area secure and fod free at time of inspection.  
20339,perfromed ground vibs iaw vib-200. all ground vibs in limits area secure and fod free.
99,red lower centering socket play is within limits iaw 150-300. pema: 6fksa76012. area secure and fod free.  
6379,made the following adjustments to the tail rotor: quad 2 +25g and quad 3 +95g iaw vib-200. area secure and fod free. pema 6fksa76012.  
5755,"serviced main rotor head damper accum assy hydraulics iaw a1-h60ra-gai-000. servicing is in the low green, just below the yellow section, nitrogen 1750 psi. oat 26*c. a/c time 2382.1. time since last servicing 10.8 hours. area secure and fod free.  "
5044,scir change close-out.  refer to mcn: 00jfouo
4897,adjusted blue pcr (up 3) iaw vib-200. area fod free and secure at time of inspection.
3465,"serviced lh and rh nose landing gear tires, serviced rh ob and ib tires, serviced lh ob and ib  tires iaw sss 1210. ataf.apaf.aff  "
16911,passed tq check at 15 inlbs with wr sn 2052 and safetied iaw 150-300  
1494,"perfomred tail rotor vibration adjustments, quadrants as follows: 12 grams in quadrant 3, 77 grams in quadrant 4 iaw a1-h60rs-vib-200. area secure and fod free at time of inspection."
1027,"removed and replace lh and rh nlg tq tube support fittings iaw sss 3220. ataf, apaf, aff.  "
3946,preformed automatic fold and spread iaw a1-h60ra-150-200. blade fold system op checks good. could not duplicate discrepancy. pema 4atya83781.  
16773,"removed corrosion. cleaned, treated, and painted (sempen) all 4 bim tabs iaw 01-1a-509 series mil-std-2161c. area secure and fod free at time of inspection.  "
153,replaced outboard retention plate iaw 150-300. area secure and fod free.  
14685,bled and serviced main rotor head accumulator iaw gai-000. hyd damper level is first green. nitrogen is at 1530. a/c time now is 585.4. ambient air temp is 73. area is clean and free of fod.  
