,DISCREPANCY
12136,red inboard damper bearing worn beyond limits.          
1674,right hand inboard mlg tire is worn          
16290,hole in blue trb boot.
4071,rh mlg ib tire worn beyond limitations.          
1865,tail rotor vibrations ool.          
26097,fwd scissor has side to side play.          
18712,red m/r blade fold motor cannon plug harness disbonded. d-121.6          
1117,nose landing gear tires and main landing gear tires are underserviced.          
3669,main rotor head hydraulics low.          
13175,aft scissor lower castle nut cotter key not installed.refer to jcn:pq4026277 for fod search          
23941,mrh accumulator low          
16727,centering socket bolts worn
7953,main rotor head vibes ool
13306,red blade spindle teflon sleeve ripped.          
6783,"remove and replace blue main rotor blade tip cap #6 screws, upper and lower."
8840,auto rotation ool
16306,main rotor head all hub liners worn. d card 119.1
11837,black damper inboard teflon worn. d-115          
18276,main rotor head servicing low.          
3007,lh inboard mlg wheel bearing has burn marks          
54,tail rotor indexer crown gouged. gouge within limits need to blend damaged area and paint.
24983,missing cotter key on accelerometer on swash plate. refer to q20105596 for qa fod search          
25878,remove and replace upper #6 screw on blue mrb.          
14777,mrh spindle shims worn. mrc-400 card d-120.          
24478,tail rotor vibes out of limits          
13008,scir change:  46sinpd.  original:  478r9is.  original:  46sikot.  yellow mrh blade failed heater mat test***red blade***          
276,main rotor head accumulator low.          
8147,remove slip ring due to mrh accum replacement. reinstall when notified by maint control.
413,lh ib mlg tire is worn          
4144,rh nose landing gear tire has a cut that exceeds its 4/32 limitations          
1754,nlg torque tube fittings worn and have lateral movement.
26177,perform post phase ground vibration analysis. abcd:30          
9146,tail rotor balance out of of limits          
7892,mrh accumulator low
12902,blue inboard damper bearing worn ool          
22174,blue main rotor blade fold harness is seperating next to upper centering socket          
4101,remove and replace rh mlg outboard tire with new asset for upcoming testing.
19426,mrh vibes ool          
2791,mrh low.          
3038,remove right hand main landing gear inboard wheel          
10750,"black mrb failed continuity checks. p939 pin 10 = 5.75m, 11 = 2.88m, 12 = 6.01m. limit is open.          "
1847,fwd scissor side to side play          
18082,fwd upper scissors h/w washer worn ool.abcd-23.5
8351,"red, blue, and black damper inboard and outboard bearings worn out of limits."
11620,"remove pbr nut to perform ibrp torque checks due to ibrp torque check mcn 00jbxg6, re-install w/n/b/m/c or when ibrp torque checks completed.          "
8025,whileadjusting bladefold limit switches found yellow b/f limit switch threads are worn. cannot adjust jam-nuts to adjust switch.
9043,aft scissor has up and down play.
24484,main rotor head reads red          
9933,"remove tb-10 for zone 2 retq's, reinstall when notified by maintenance control.          "
3863,all pitch beam  bushing worn ool
10741,red damper 102 bolt has excessive nicks and  gauges.          
18204,yellow droop stop corner damage out of limits.          
4402,yellow bim turns black immediately when pressed down          
27211,black tail rotor blade abrasion strip torn in 3 different areas.
14819,swashplate vertical accelerometer damaged          
677,"auto fold inop. once pitch locks drive in and lockpins drive out, the blades will stop folding once they break away from the hinge.          "
26290,black blades bim showing small amount of black.          
8916,main rotor accumulator in the red. mrc-100. ste9 47.1          
11220,yellow fold hinge balance weight hardware needs replacement as required mrc-400 card: d-121          
13367,blue/black tail rotor paddlehas a hole.          
1834,admin install yellow tip cap.          
7687,inflight 120 and vh ool.          
2979,durring phase d inspection found lh mounting bracket for nlg torque tube worn. apaf in phase shop          
14854,perform ground vibration analysis due to phase maintenance          
24860,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-05050;  pos cd: black          
27954,black blade corroded around weight area. dd 10dec19 card d-112
8097,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-04259;  pos cd: blue
27214,black blade dogbone bolts ntb sealed
4799,outboard retention plate corrosion out of limits.
14771,main rotor head ool          
6233,main rotor head in-flights out of limits.          
12538,main rotor head fwd scissor has up and down play.          
23830,black lead stop bracket worn. d-121          
731,lh nlg tire worn
1543,install rh nose landing gear tire
1317,blade fold inoperative.          
9906,mrh inflights out of limits
20785,yellow damper qd is leaking.          
1447,rh ib mlg tire worn beyond limits          
1947,suspected hyd leak on lh outboard bleeder valve *** brake piston***          
1199,mrh accum fluid level low.          
2988,rh nose landing gear tire has uneven wear that exceeds limitations
8281,black mrb lower centering has play
20961,removed and replace yellow blade tip cap as a match set due to replacement of mrh blade refer to mcn 2e4fxx7          
24612,mrh final ground out of limits at .43
13582,mrh accumulator fluid low.          
4467,black blade bim not proper color shows black.  slow to snap back during test.          
9500,perform tail health vibes
12936,mrh accumulator low          
4673,right hand outboard main landing gear tire assy has no tread          
23098,mrh accumulator fluid low          
2011,main rotor head accumulator low.          
368,lh outer mlg brake line worn.          
1049,landing gear control unit (abiu) posted f(p) fault id) 6880     2)000a     3)48eb     4)1000     5)0020     6)8880     7)f000     8)0be0          
21946,mrh low
12205,mrh hyd level red          
132,mag pick-up striker bent          
22473,tr cable tensions out of limits. refer to mcn: 47p4nvq for 4-13 tension checks.
930,hole in yellow tail paddle boot          
27489,remove blue mrb tip cap as a matched set.
8884,complete cards bd 87-87.1 main rotor head pcr inspection.          
17857,blue tail rotor pcl cotter keys worn          
20467,main rotor head accumulator low.
10777,main rotor head accum low          
10817,mrh accum in the red          
1222,during 500 landing inspection. discovered groove on steering collar from out of range switch with possible crack. *** update. under further visual inspection. nlg shock strut steering collar is cracked***          
12932,red dampner leaking          
293,rh mlg strut needs servicing. showing dimension 'x' at 1''          
26434,"bifilar assy bushing between arm 1 and arm 2 cracked, right hand top bushing crack on fwd edge.          "
25951,remove and re install swashplate acceleromiters to facillitate the replacement of swashplate.
7120,remove indexer for pmi prep.
5834,black spindle elastomeric bearing worn ool. card d-120          
1928,rh ob mlg leaking beyond limits          
4078,hydraulic system 3 needs to be bleed for possible air in the system. chattering was felt under the floor boards specifically the parking brake transfer valve.          
18532,broken safety wire on red mrh blades lockpin puller dogbones lower bolt.          
251,lh mlg high pressure gauge is at 900psi and low pressure is at 1100. chrome showing is lower than 2'.          
13890,blue tail rotor blade is cracked          
12253,black lower hub liner worn. card 23          
5419,scir change:  00jep1x.  corroded nut on blue blade droop stop. ccdd: 19085
4074,tail rotor balance is out of limits.
9909,blue mrh blade tip cap has possible crack at trailing edge corner.          
10614,hole found in yellow trb boot          
9685,remove yellow tail rotor pitch control link
16899,scissor play.          
9063,tail rotor balance out of limits.          
1772,tail rotor balance and health ool          
27089,"perform 9-13 flt hour tq check not to exceed 25 flt hours or last flight of the day on all 4 main rotor pcr jamnuts. a/c time now: a2756.1, a/c time due: a2765.1, a/c time no later than: a 2769.1, noty to exceed: a2781.1"
5116,bd 91: tail rotor yellow blade boot has a hole.
6108,all upper centering sockets worn          
20262,perform post phase ground vibration analysis iaw vib-200.  abcd-27          
2401,mlg wow switch position disagree          
3791,main rotor head accumulator low.
208,both main landing gear struts need servicing.          
1356,tail rotor balance is out of limits.          
2627,mrh blue lower centering socket loose          
8551,red hinge weight h/w installed incorrectly.
3167,main rotor head inboard and outboard black damper bearings out of limits.          
2915,right hand main landing gear tires have low tire pressures.          
7930,loose most inner zip tie on the spindle sleeve of the red blade
14667,trb yellow boot has a hole marked location on boot card 11.12 daily          
17808,tfom seatbar and drip pan.          
15743,evidence of black blade damper leaking hyd fluid          
18702,"tail rotor paddle boot torn, inboard of the blue paddle          "
7229,mrh accumulator overserviced at 1800 psi card 47.1          
7159,mrh accum hyd reads red.          
2232,pitch-lock pin on blue blade discovered extended during pre-flight.          
25424,blue heater mat burn hole in blade          
14179,perform tail rotor 3 degree bias check due to removal and reinatallation of tail rotor blades. (ac-70.7)
8566,m.r. head low
25596,auto blade fold inop.  blade fold sequence stops once all pitchlocks are engaged.  blades do not fold.  'indexed' and 'pitch locked' advisories are present.          
10110,broken safety wire on the red lock pin puller bolt
23619,main rotor head accumulator servicing low. reads in the bottom of the low green and 1450 psi.          
162,lh mlg brake assembly lower forward puck is making contact with composite disc.          
3132,tail rotor out of limits          
18385,play on lower centering socket of black blade. mrc-300. cd. 24.2          
7849,hole in yellow tail rotor. out of limits.
3199,black tail rotor paddle boot bridge missing 1 ea card ta #21          
20158,aft scissor lower mount bolt worn ool iaw: abcd card 23.5          
26103,no spread light          
21234,mrh accum hyd low. in red          
1835,blue fold limit switch not fully installed. locking tab is not engaged in the hole          
17112,forward swashplate scissors inner bushings have excessive wear.          
23078,blue spindle dust cover worn iaw mrc-400 card d-121          
23335,mrh hub insert checks failed *** qty: 8 mrh extention shaft inserts for lower pressure plate failed run on torque check and require replacement.***
19380,main rotor track and balance vh out of limits.          
1155,red inboard pcl nut failed torque check          
18941,the mrh hyd accumulator reads red          
16163,aft scissor lug worn beyond limits.          
7311,fom mrh beanie (distributor) for replacement of main gear box
25835,tail rotor mag pickup needs adjustment.
21781,main rotor head out limits          
20126,da low
11152,main rotor head hyd side low.          
10382,remove tail rotor pitch beam to facilitate removal of tail paddles. install when notified.
3149,install yellow blade          
861,replacing rh nlg as a match set with the lh nlg refer to mcn:2366yc1
7902,all main rotor vibes ool.          
2450,rh mlg clevis nut is loose          
8951,cannibalized item: red droop stop cam assy (ddsn: 9164gt60) for modex 36 original mcn: 46sjbez
15124,black bonding wire broken          
6296,"blue tail rotor blade boot is torn. a1-h60ca-mrc-400, card abcd-91"
24487,main rotor head vibes out of limits.
4172,install right hand main landing gear outboard wheel          
11422,remove and reinstall tail rotor components to perform 9-13 torque checks on inboard retention plate.          
8726,blue and red hydraulic damper line adel clamps not installed
25712,mrh accumulator hydraulic level in the red.
4795,aft scissor assy ool          
2451,perform post phase ground vibration analysis.          
2372,lh nlg tire replace due to rh tire being replaced.          
14572,mrh accumulator low  at the add  mark          
8983,remove blue mrh blade assy to facilitate blue mrh centering socket shim repair.  reinstall when notified by maintenance control.          
13601,outboard cotter key on red damper corroded beyond limits. ccdd: 30apr18          
5302,main rotor head accumulator low.
10081,main rotor head in-flight vibes ool.
24711,broken saftey wire on the tail rotor indexer switch.          
12158,replace red upper pcr bolt to comply with afb-0299 no later than 200 hr/next phase time now: 1854.5. next phase dd: 2013.8.          
6519,worn aft scissor bearing. mrc-400 card 23.4 step 6          
197,hydraulic side mrh accumulator low.
5019,lh mlg shock strut found under serviced
492,lh ob brake does not pass the clearance test and needs to be cleaned. poc : cpl f serranocenteno
21615,all 4 tr dust covers worn.          
27738,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-01734;  pos cd: black nlt: prior to next flight
508,mrh accumulator low.          
17445,remove tip cap due to match set of blade removal          
2852,aft scissor bearing worn ool.          
1310,red tail rotor boot has a hole.          
5507,mrh in-flight vibes out of limits.          
27361,install black main rotor blade.
11042,main rotor fwd upper scissor link bolt worn.          
21681,main rotor head in-flight vibrations out of limits.          
6375,adel clamp not secure on de-ice harness on red blade. improper hardware.          
16951,install mrh indexer.          
23124,blade inspection method failing on red blade iaw mrc-300 card 24          
24468,yellow tail rotor boot not secure          
24434,bifilar tapered washers and center spacers worn.          
4767,lh nlg tire pressure low          
20825,remove and reinstall blue damper.          
2480,rh ob mlg brake found damaged          
3144,blue elasto bearing ool.          
1633,blow down bottle servicing is low          
5325,upper blue and yellow pcr bolt not torque striped          
25397,main rotor head accumulator hydraulic level low. checks red          
2692,yellow tail rotor boot torn          
11441,mrh black blade upper centering socket has play.          
13487,main rotor head hyd level is low          
11235,install red main rotor blace post pmi.          
549,rh nlg tire is worn beyond limitations.          
22574,mrh swashplate scissor bearings out of limits. card abcd 23.5          
16614,delamination occuring on blue mrb tip cap securring flange.
1808,play in yellow blade lower centering socket          
11095,worn blue blade fold motor          
26968,black droop stop worn          
635,lh ob main lading gear tire needs to be replaced          
7731,all mrh bifilar weights h/w worn ool
1043,brakes are intermittenet and sometimes require pumping to fully apply. ***update trouble shot down to bad parking brake transfer valve module***          
7833,tail rotor balance ool.
12461,perform tail rotor rig          
5143,7lb3 strut worn
11243,yellow tail rotor boot torn          
463,"lh nose tire worn beyond limitations, showing plies"
19112,blue tail rotor boot has a small tear.          
27322,install black main rotor blade tip cap.
1675,lh mlg door inboard hing bearing is loose.          
1367,blue fold hinge balance weight hardware needs replacement as required mrc-400 card: d-121          
1338,cannibalized item: landing gear control unit (ddsn: 9270g608) for modex 12 original mcn: 1gfd72i
7400,remove and reinstall tb-10 due to phase jcn: qg0178a00
22356,in flight vibes out of limits.          
16741,blue tail rotor boot has hole
9058,main rotor head fluid level is low.
23691,remove tr pitch beam to facilitate removal of tail rotor servo. reinstall when directed by maintenance control. refer to jcn: q20310466 for 9-13 torque check of pitch beam retaining nut. refer to jcn: q20310467 for 9-13 torque check of all pcl nuts.      
11262,1 3/4 inch crack found on red main rotor blade tip cap trailng edge.          
19514,main rotor head gauge reading red.          
1234,worn expandable pin beyond limits on fwd swashplate link.mrc 400 card bd 84.          
1377,mrc-100 card 47.1 mrh accum. hydraulic fluid level in red          
7369,main rotor head final ground vibrations out of limits.
1238,brakes are very weak          
17909,rotor head servicing in the red.          
12223,blue trb boot ziptie loose. one trb zip tie bridge is missing.see mrc-300 card 11.12. *** refer to jcn: q40253214 for fod inspection***          
25022,aft scissor  has side to side play.          
27060,all 4 upper and lower centering sockets corroded out of limits
3131,aft scissor upper link has side to side play.
17543,mrh accumulator low.          
8901,yellow droop stop cam assy worn ool.          
23770,abcd- 23.5 forward main rotor head swashplate scissor damaged in non repairable area.
13227,perform full bleed and service on main rotor head accumulator.          
16273,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: x221-02915;  pos cd: red          
25974,cannibalized item: red pitch lock actuator (ddsn: 9274gv56) for modex 20 original mcn: 1xln01l
16873,reinstall all pcrs w/d/b/m/c.          
5406,main rotor head accumulator hyds servicing low
13885,main rotor  head aft swashplate scissor bearing worn ool. phase card 23.5.          
512,left hand outboard mlg tire tread is worn out of limits          
15471,tail rotor out of limits          
27878,mrh black blade bf mounting bracket broken.
17271,worn spindle nut shims on blue spindle.          
4199,"during fcf, aborting indexer appears on screen when attempting to run mrh vibes          "
5413,assist wc 120 on perform mr rig check by removing /re-installilng mrh distributor cap
5374,red spindle inner race worn out of limits.
17874,mrh accumulator fluid servicing low.          
3083,tail indexer inop
649,red pcl lockring installed incorrectly. abcd-29.          
11322,"card 57. tear in tail rotor boot, blue blade.          "
18836,"remove forward, aft and lateral expandable pins.  reinstall when notified by maintenance control.          "
3566,tail rotor vibs out of limits.          
10469,mrh low.          
5067,minor surface corrosion found on right hand main landing gear door strut hardware. dd:20191212
18218,yellow spindle inner race worn ool          
17600,remove blue blade harness to facilitate removal of hub liner.  replace w/n/b/m/c.          
2056,remove and replace component nomenclature mrb tip cap assy;  part no: 70150-09207-041;  serno: a849-14515;  pos cd: black. dd: 11feb19          
20207,mrh low          
7382,yellow mrh damper outboard bearing worn ool
11820,main rotor head ool.          
21332,sixteen bifilar weight washers worn. card 23.2          
22760,remove and reinstall yellow blade fold harness w/n/b/m/c          
15806,2 pin holes in rubber boot on black tail rotor blade.
5145,sheared bolt on blue pitch lock housing. all parts accounted for.
10332,hole in black tail rotor boot mrc400 card70.2
6935,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-02514;  pos cd: red
22861,main rotor head out of limits          
5768,first and second stage tail rotor servo manifold harware worn. mrc-400 card ac-70.7.          
410,mrh accumulator is low with indicator in the red. card 47.1          
9962,1/2 inch gouge on yellow trb near leading edge.
23796,d-121 red fold hinge gear broken.          
4197,d-121 all four mrh  fold hinge cover assemblies  worn          
16180,mrh accum hyds reads red
13821,mrh accumulator bypassing internally.          
16190,mrh accum low          
14208,mrh accumulator low
13648,hole in black tail rotor boot.          
7437,tail rotor  retention plate hw worn.
1062,main rotor head fluid low          
16623,black blade bim inoperative.
7197,hole on blue tail rotor boot mrc400 card70.3
25316,main rotor head is low.
24722,aircraft has a good gallup above 120 and started shaking quite a bit after about 10 minutes at that speed. had to reset avcs 3 times over 45 minutes.          
21214,install black main rotor blade.          
19916,perform tail rotor 3 degree bias
24100,main rotor head accumulator low.
10242,bonding jumper broken on the black tail rotor pitch control link
14205,black blade corroded beyond repair. verifird by trevor knowles          
2285,aft upper scissor link bushing  ool
8228,perform post phase ground vibration analysis iaw vib-200
8766,mrh accumulator low 1500 red mrc-100 step 47.1          
16219,aft mrh scissor bearing worn ool.          
11744,admin install yellow blade tip cap          
21642,hole in black tail rotor boot.          
260,broken safety wire on red blade pitch lock switch.
1127,blue main rotor damper inboard bearing ool          
11778,perform 3 degree bias check.          
9315,main rotor brake disk is worn.          
12162,blue m/r blade fold motor cannon plug harness disbonded and broken inner insulation. d-121.3          
2487,right nose landing gear tire is cross hatched along the center line and chunks of the tire are coming off          
22182,main rotor head accumulator in red
11997,main rotor head accumulator low          
27952,blade fold harness anchor nuts on yellow blade corroded. ccdd 25dec19
18485,mrh ool          
504,rotor head hyd low          
12163,d card 121. yellow blade fold actuator corroded beyond limits.          
25875,yellow elastomeric bearing worn ool.
21560,yellow spindle hinge pin is not cotter keyed          
11366,tail rotor vibs ool          
19567,all 4 mrh hingle crush washer bracket mount bolt has broken torque stripe with evidence of slippage. requires torque check and torque stripe.          
7536,yellow hinge nut cotter missing. refer to mcn: 00cg9v3 for qa fod search maf
1727,original:  1mpmas1.  tire is completly deflated ***update*** lh nose tire deflated          
9615,scir change:  40b94pa.  abcd-13.9 yellow tail tip cap cracked.          
13772,final ground ool          
12140,all centering sockets and hardware for centering sockets worn.
17980,perform 3 degree bias.
9810,aft upper link scissor shims worn. abcd - 23.5 step 7.1          
10861,red pcr upper and lower rod ends not cotter keyed. no fod found. for aircraft fod inspection refer to mcn: 00jd0v0.          
1310,rh nlg tire out of limits
4938,rh mlg tip door worn hw
19774,mrh low          
19922,worn upper blue centering socket. found on card d-119.1 of mrc-400.          
6577,mrh accumulator fluid level low.
49,right hand nose landing gear tire is worn beyond limits and needs to be replaced.          
22252,main rotor head indexer inop.          
26078,blue main rotor blade tip cap screws failed torque checks.          
14218,worn damper hardware. d-115
4289,tai l rotor out of limits.          
7923,mrh on red
908,both black damper bearings worn. phase b card 101.1          
2732,left hand main landing gear door strut latch broken. apaf.
7608,corrosion on all four blades centering sockets bolts.          
2456,mrh accumulator low          
68,pneumatic resivoir not holding pressure          
27440,main rotor accumulator fluid low.
24968,perform tail ground vibes for tail cable adjustment.          
4523,eleven working rivets on red tail blade tip cap          
26152,mrh low          
25499,blade fold lockpins need grease. (14 day)          
9557,yellow inboard damper bearing ool.          
18046,multiple bonding wire shielding detereorated on all blade fold harnesses          
3742,replace rh inboard main landing gear tire due to rh outboard tire blown.          
26105,main rotor head accumulator is red          
11093,yellow main rotor head accumulator damper hose assembly leaking          
22543,broken saftey wire on blue blade lower center socket.
175,nose landing gear valve stem broken leaking air
7488,main rotor shaft ext gouged ool.          
9870,mrh nit psi 1300          
8478,remove beanie to facilitate flight control rigging
14826,mrh ool          
13949,black blade tail rotor paddle zip tie loose          
6205,hole in black tail rotor boot          
18106,hi time: red blade tip cap upper #6 screw (s/n 12535-up)
19364,blue main rotor blade tip cap screws worn. card bd-95.          
24322,mrh ool          
21918,forward scissor sphirical bearing ool card: abcd 23.4 step 6          
18695,red damper outboard bearing nylon is worn.          
19740,yellow tail rotor blade erosion strip disbonding.abcd-13.8          
13608,worn screws on blue tip cap. (card bd-95)          
24921,main rotor head accumulator hydraulics low          
7657,torn abrasion strip on red tail paddle.          
21770,"1 per vibration felt during fcf runs at 140 and vh.  vibes did not feel excessive, just a noticable 1 per vibration wallop. all vibes on fcf well within limits, ran damper diagnostics due to suspected damper problem, but all dampers within limits.        "
7203,small amount of black showing on red main rotor blade.
17371,red blade corroded ool          
19481,mrh accumulator fluid low
19704,tail rotor vibrations out of limits          
24125,fwd scissor spherical bearing has up and down play. abcd-23.5          
12305,tail rotor failed 3 degree bias. neeed adjustment.          
9686,mrh low fluid.          
20430,weights on last adjustment for tail are on incorrect quadrant.          
2296,rh nlg tire worn beyond limits          
1479,mrh ground vibes ool.          
14228,yellow m/r damper outboard bolt damaged beyond limits needs replaced iaw a1-h60ra-150-300 wp 4.          
25593,main rotor head red damper out of limits. mrc 350 card 186.2.
19689,red blade lock pin pullie has more than 1/4 turn          
1254,red elastomeric bearing meatal end plates of thrust bearing has surface damage          
6114,blue upper clamp up chaeck fail          
10553,mrh ground vibe ool.          
27289,perform post phase in-flight vibes
8173,service mrh damper due to removal and re-installation of red damper
12811,remove yellow blade for pmi.  reinstall when notified by maintenance control.
24830,black tail rotor pcl bondind wire broken.          
8126,hole in yellow tail rotor boot
20567,remove and replace yellow tip cap screws lower #6.card bd-95.
4687,blue main rotor head damper outboard bearing has wear groove ool.
16476,mrh accumulator low psi: 1600/ ng: red. mrc-100 card 47.1
8850,mrh accummulator is overserviced. (currently at 1800psi)
2682,right hand outboard main landing gear tire is worn
15232,black blade bim stuck showing black . mrc-100 step 49          
17084,broken bonding jumper on red trb.          
10353,blade fold/ spread toggle switch is loose. unble to lock into positions.
13047,screws worn on main rotor blade red blade.
3982,red tip cap hardware worn          
21843,blue and yellow outboard damper bearings are ool. refer to 1v4ysw7 for torque checks          
3333,red bifilar weight has excessive wear on its underside.  abcd-23.2          
6956,black and yellow pcr lower jamnuts safety wire incorrect
24092,fwd expendable pin worn          
759,right hand nose landing wheel tire assembly worn beyond limits.          
19372,service and bleed mrh accumulator.          
12022,perform main rotor head rig check due to replacement of main gear box.          
27131,forward scissor lower link bushing worn ool. abcd phase card 23.5
1672,disconnect lower pcr rod ends. reconnect when notified by maintenance control.          
16565,mrh accum low          
14571,yellow elastomeric bearing assy shim has separation
26274,main rotor head hydraulic side low          
6849,yellow tail rotor blade tip cap rivet worn. abcd card 13.9 step 21.4.
21601,forward scissor has side to side play on upper and lower link.          
2286,landing gear control unit is posting f(p) and f(t)          
4730,red spindle hinge pin torque needs to be verified due to no signature on phase d spindle build-up sheet.          
20584,anti-flap springs worn ool.
11252,remove mrh distributor to fom  mrh low.          
10724,mrh accumulator hyd side low
11210,main rotor head accumulator low
1145,tear on blue tail rotor boot          
12966,black blade pitch lock actuator gasket worn.
886,mrh in-flights vibes ool.
3444,mrh accumulator low.          
7821,all upper centering sockets worn ool
9380,worn blue pitch lock motor gasket          
15482,remove all pitch control rods. reinstall when notified by maintenance control.          
27859,remove {red} mrb assy s/n:a237-04192 for level iii preservation. install when notified by maintenance control.
4025,lh nlg tire worn beyoned limits          
10047,perform tail rotor bias          
9254,main rotor head low
14151,main rotor head scissor washers on upper link are worn. card abcd 23.5.
13410,main rotor head damper accumulator hydraulic fluid low.          
5137,pneumatic reservior is high time and needs to ordered to be replaced
